Node,Nid,Billing Reference,Child's Name,Billing Discount,Pre-Booked Session,Pre-Booked Duration (h),Pre-Booked Charged Duration,Pre-Booked FE,Pre-Booked Childcare Charge,Pre-Booked Away Discount,Pre-Booked Billing Discount,Pre-Booked TTO Surcharge,Pre-Booked Late Change Surcharge,Pre-Booked Services Charge,Pre-Booked Booking Charge,Booked Session,Booked Duration (h),Actual Attendance,Free Entitlement,Charged Duration,Childcare Charge,Unscheduled Charge,Away Discount,Billing Discount,TTO Surcharge,Late Change Surcharge,Services Charge,Booking Charge,Billing Adjustment,Childcare Setting
220924-243078,243078,BIBIN,"Bibin, Ewan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 7:30am to 6:00pm,10.5,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Station Close
233489-242953,242953,ANGELL,"Angell, Mason",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,3,7,26.1,0,0,0,0,5.99,32.09,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:37am to 5:37pm,6,4,34.8,0,0,0,0,0,1.44,36.24,4.15,Norto5 KIDZ - West End Farm
238802-242973,242973,ATKINSON,"Atkinson, Ted",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-88.41,Norto5 KIDZ - Lindfield Lodge
238291-243050,243050,BARNES,"Barnes, Oliver",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:37am to 5:45pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
209118-243135,243135,BROOMFIELD,"Broomfield, Naya",0.00%,"Tuesday, 8 November 2022 - 8:00am to 5:00pm",9,9,0,81,0,0,0,0,5.99,86.99,08/11/2022 - 8:00am to 5:00pm,9,01/01/2000 - 12:00am,0,9,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
190488-243190,243190,COBBOLD,"Cobbold, Brody",0.00%,"Tuesday, 8 November 2022 - 7:30am to 1:00pm",5.5,5.5,0,53.08,0,0,0,0,4.55,57.63,08/11/2022 - 8:00am to 1:00pm,5,08/11/2022 - 8:11am to 12:58pm,0,5,48.25,0,0,0,0,0,4.55,52.8,-4.83,Norto5 KIDZ - Lindfield Lodge
242874-243212,243212,CORCORAN,"Corcoran, Arthur",5.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,-4.05,0,0,1.44,78.39,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:02am to 4:51pm,0,10,81,0,0,-4.05,0,0,1.44,78.39,0,KIDZ Academy - Cuckfield
242875-243221,243221,CORCORAN,"Corcoran, Maeve",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,1.16,86.16,08/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,10,85,0,0,0,0,0,1.16,86.16,0,KIDZ Academy - Cuckfield
187923-243245,243245,CRAIGD,"Craig-Davies, Lara ",5.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,-4.25,0,0,3.41,84.16,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:59am to 5:03pm,0,10,85,0,0,-4.25,0,0,3.41,84.16,0,KIDZ Academy - Cuckfield
208216-243360,243360,FIGG,"Figg, Henry",0.00%,"Tuesday, 8 November 2022 - 8:00am to 12:00pm",4,0,4,0,0,0,0,0,0,0,08/11/2022 - 8:00am to 12:00pm,4,08/11/2022 - 8:01am to 11:59am,4,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
196491-243388,243388,GARRETT,"Garrett, Darcie",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,0,0,0,5.99,86.99,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 9:09am to 5:06pm,0,10,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
234429-243494,243494,GREENER_JONES,"Greener-Jones , Isla ",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:32am to 5:45pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
182193-243673,243673,KANE,"Kane, Dylan",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,0.5,9.5,4.35,0,0,0,0,5.99,10.34,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:25am to 5:44pm,9.5,0.5,4.35,0,0,0,0,0,5.99,10.34,0,KIDZ Academy - Cuckfield
233787-243704,243704,KEANE,"Keane, Ophelia",0.00%,"Tuesday, 8 November 2022 - 8:00am to 5:30pm",9.5,9.5,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:25am to 5:44pm,0,10,85,0,0,0,0,0,3.41,88.41,0,KIDZ Academy - Cuckfield
239865-243872,243872,PERRY,"Perry, Alesha",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,7.5,2.5,65.25,0,0,4.57,0,1.44,71.26,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:20am to 5:40pm,2.5,7.5,65.25,0,0,0,4.57,0,5.99,75.81,4.55,KIDZ Academy - Lindfield
210725-243883,243883,PETKOVA,"Petkova, Angelica",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 8:00am to 1:30pm,5.5,08/11/2022 - 8:11am to 1:33pm,5.5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
235930-243968,243968,RIAZ,"Riaz, Aaron",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:11am to 5:52pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - Lindfield Lodge
242543-244021,244021,SIMMONS,"Simmons, Aurora",0.00%,"Tuesday, 8 November 2022 - 8:00am to 1:00pm",5,5,0,50,0,0,3.5,0,2.25,55.75,08/11/2022 - 8:00am to 1:00pm,5,08/11/2022 - 9:04am to 1:00pm,0,5,50,0,0,0,0,0,2.25,52.25,-3.5,KIDZ Academy - Lindfield
216099-244033,244033,SLATER,"Slater, Luca",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,08/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-88.41,Norto5 KIDZ - Lindfield Lodge
220968-244049,244049,SMITH_BARRELL,"Smith, Noah",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,1.16,86.16,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:44am to 5:25pm,0,10,85,0,0,0,0,0,1.16,86.16,0,Norto5 KIDZ - Lindfield Lodge
154848-244113,244113,TAYLOR02,"Taylor, Maggie",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,74,0,0,0,0,5.99,79.99,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:11am to 5:52pm,0,10,74,0,0,0,0,0,5.99,79.99,0,Norto5 KIDZ - Lindfield Lodge
223656-244125,244125,TOONE,"Toone, Jacob ",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,5.95,0,3.41,94.36,08/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-94.36,Norto5 KIDZ - West End Farm
220914-244137,244137,TRACY,"Tracy, Jack",0.00%,"Tuesday, 8 November 2022 - 8:00am to 2:00pm",6,6,0,60,0,0,0,0,2.25,62.25,08/11/2022 - 8:00am to 2:00pm,6,08/11/2022 - 8:10am to 1:11pm,0,6,60,0,0,0,0,0,2.25,62.25,0,Norto5 KIDZ - West End Farm
208663-244177,244177,WALKER,"Walker, Charlotte",5.00%,"Tuesday, 8 November 2022 - 8:00am to 4:30pm",8.5,8.5,0,81,0,-4.05,0,0,5.99,82.94,08/11/2022 - 8:00am to 3:30pm,7.5,08/11/2022 - 8:59am to 3:33pm,0,7.5,72.38,0,0,-3.62,0,0,4.55,73.31,-9.63,KIDZ Academy - Cuckfield
231197-244213,244213,WATERS,"Waters, Amber",0.00%,"Tuesday, 8 November 2022 - 8:00am to 6:00pm",10,0,10,0,0,0,0,0,0,0,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 9:03am to 5:26pm,10,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
179983-244297,244297,WOOD,"Wood, Olivia",0.00%,"Tuesday, 8 November 2022 - 8:00am to 1:00pm",5,5,0,48.25,0,0,0,0,4.55,52.8,08/11/2022 - 8:00am to 1:00pm,5,08/11/2022 - 8:16am to 12:59pm,0,5,48.25,0,0,0,0,0,4.55,52.8,0,Norto5 KIDZ - Lindfield Lodge
129152-245105,245105,WILLIS,"Willis, Harrison",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 8:00am to 6:00pm,10,08/11/2022 - 8:20am to 5:52pm,6,4,34.8,0,0,0,0,0,5.99,40.79,40.79,Norto5 KIDZ - Lindfield Lodge
235925-243059,243059,BERENDE,"Berende, Darius",5.00%,"Tuesday, 8 November 2022 - 8:30am to 2:30pm",6,0,6,0,0,0,0,0,0,0,08/11/2022 - 8:30am to 2:30pm,6,08/11/2022 - 9:04am to 2:34pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
193662-243179,243179,CANNINGS,"Cannings, Lucas",0.00%,"Tuesday, 8 November 2022 - 8:30am to 5:00pm",8.5,0,8.5,0,0,0,0,0,5.99,5.99,08/11/2022 - 8:30am to 5:00pm,8.5,01/01/2000 - 12:00am,8.5,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
233844-243421,243421,GEORGE,"George, Milo",0.00%,"Tuesday, 8 November 2022 - 8:30am to 12:30pm",4,4,0,38.6,0,0,0,0,4.75,43.35,08/11/2022 - 8:30am to 12:30pm,4,01/01/2000 - 12:00am,0,4,38.6,0,0,0,0,0,4.75,43.35,0,KIDZ Academy - Cuckfield
177412-243462,243462,GOERING,"Goering, Minnie",0.00%,"Tuesday, 8 November 2022 - 8:30am to 3:00pm",6.5,0,6.5,0,0,0,0,0,4.55,4.55,08/11/2022 - 8:30am to 3:00pm,6.5,08/11/2022 - 8:32am to 2:47pm,6.5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
210535-243556,243556,HILL,"Hill, Jensen",0.00%,"Tuesday, 8 November 2022 - 8:30am to 4:00pm",7.5,5,2.5,43.5,0,0,0,0,0,43.5,08/11/2022 - 8:30am to 4:00pm,7.5,08/11/2022 - 8:32am to 3:53pm,2.5,5,43.5,0,0,0,0,0,0,43.5,0,Norto5 KIDZ - West End Farm
233268-243956,243956,REEVE,"Reeve, Oscar",5.00%,"Tuesday, 8 November 2022 - 8:30am to 5:30pm",9,9,0,81,0,-4.05,0,0,5.99,82.94,08/11/2022 - 8:30am to 5:30pm,9,08/11/2022 - 9:03am to 5:26pm,0,9,81,0,0,-4.05,0,0,5.99,82.94,0,Norto5 KIDZ - West End Farm
171181-242985,242985,BAILEY01,"Bailey , Benjamin ",0.00%,"Tuesday, 8 November 2022 - 9:00am to 5:00pm",8,1.5,6.5,13.05,0,0,0,0,0,13.05,08/11/2022 - 9:00am to 5:00pm,8,08/11/2022 - 9:19am to 5:03pm,6.5,1.5,13.05,0,0,0,0,0,0,13.05,0,KIDZ Academy - Cuckfield
242180-243007,243007,BAILEY_R,"Bailey, Ross",0.00%,"Tuesday, 8 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 2:00pm,5,08/11/2022 - 9:18am to 1:59pm,5,0,0,0,0,0,0,0,0,0,-4.55,KIDZ Academy - Lindfield
242303-243022,243022,BAKER_H,"Baker, Hamida",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 9:10am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
223386-243038,243038,BALDWIN,"Baldwin, Lainey",0.00%,"Tuesday, 8 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 2:00pm,5,08/11/2022 - 9:10am to 1:56pm,5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
239563-243095,243095,BOBOC,"Boboc, Maya",0.00%,"Tuesday, 8 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 3:00pm,6,08/11/2022 - 9:18am to 2:46pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
220334-243114,243114,BRAMALL,"Bramall , Teddy ",0.00%,"Tuesday, 8 November 2022 - 9:00am to 6:00pm",9,9,0,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 6:00pm,9,08/11/2022 - 9:01am to 12:16pm,0,9,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
164227-243269,243269,DAVIDSON01,"Davidson-Hewson, Eilidh ",5.00%,"Tuesday, 8 November 2022 - 8:00am to 4:00pm",8,0,8,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 4:00pm,7,08/11/2022 - 10:00am to 4:04pm,7,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - Lindfield Lodge
231072-243298,243298,DORMER,"Dormer, Leo",5.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
225198-243306,243306,EAGER,"Eager, Eloise ",0.00%,"Tuesday, 8 November 2022 - 9:00am to 4:30pm",7.5,0,7.5,0,0,0,0,0,1.44,1.44,08/11/2022 - 9:00am to 4:30pm,7.5,08/11/2022 - 9:34am to 4:17pm,7.5,0,0,0,0,0,0,0,1.44,1.44,0,Norto5 KIDZ - West End Farm
182672-243323,243323,ELLIOTT01,"Elliott, Oscar",5.00%,"Tuesday, 8 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 3:00pm,6,08/11/2022 - 9:04am to 3:02pm,6,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Lindfield
196461-243430,243430,ANDREWS02,"Ghochani-Andrews, Joey",5.00%,"Tuesday, 8 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 2:30pm,5.5,08/11/2022 - 9:04am to 2:34pm,5.5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
210826-243535,243535,HARRISON,"Harrison, Fletcher",0.00%,"Tuesday, 8 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
220950-243579,243579,HUGGINS,"Huggins, Gracie-Marie",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 9:05am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
231152-243626,243626,JAMES,"James, Khodi ",0.00%,"Wednesday, 9 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 2:00pm,5,08/11/2022 - 8:59am to 2:01pm,5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Cuckfield
196952-243653,243653,LAWRENCE01,"John-Donegan, Marley",30.00%,"Tuesday, 8 November 2022 - 9:00am to 6:00pm",9,9,0,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 6:00pm,9,01/01/2000 - 12:00am,0,9,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
239423-243684,243684,KAPOOR,"Kapoor, Ayaansh",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,0,0,0,30,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 10:32am to 11:56am,0,3,30,0,0,0,0,0,0,30,0,Norto5 KIDZ - Lindfield Lodge
227952-243740,243740,LAWSON,"Lawson, Sophie",0.00%,"Tuesday, 8 November 2022 - 9:00am to 6:00pm",9,9,0,85,0,0,0,0,0,85,08/11/2022 - 9:00am to 6:00pm,9,08/11/2022 - 9:58am to 12:45pm,0,9,85,0,0,0,0,0,0,85,0,Norto5 KIDZ - West End Farm
234414-243749,243749,MANTHORPE,"Manthorpe, Bobby",0.00%,"Tuesday, 8 November 2022 - 9:00am to 2:30pm",5.5,0,5.5,0,0,0,0,0,4.75,4.75,08/11/2022 - 9:00am to 2:30pm,5.5,08/11/2022 - 9:19am to 2:33pm,5.5,0,0,0,0,0,0,0,4.75,4.75,0,KIDZ Academy - Cuckfield
211085-243765,243765,MAURO-FOSSAT,"Mauro-Fossat, Kataleya",0.00%,"Tuesday, 8 November 2022 - 9:00am to 4:30pm",7.5,7.5,0,65.25,0,0,0,0,6.34,71.59,08/11/2022 - 9:00am to 4:30pm,7.5,08/11/2022 - 8:59am to 4:00pm,0,7.5,65.25,0,0,0,0,0,5.99,71.24,-0.35,KIDZ Academy - Cuckfield
174049-243813,243813,MULLER,"Muller Andrews, Edith",0.00%,"Tuesday, 8 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,5.99,5.99,08/11/2022 - 9:00am to 5:00pm,8,08/11/2022 - 9:13am to 5:00pm,8,0,0,0,0,0,0,0,5.99,5.99,0,Norto5 KIDZ - Lindfield Lodge
210767-243829,243829,NAMANYA,"Namanya, Eskame",5.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 3:30pm,6.5,08/11/2022 - 9:04am to 3:30pm,6,0.5,4.83,0,0,-0.26,0.34,0,4.55,9.46,9.46,KIDZ Academy - Lindfield
209103-243864,243864,PAGE,"Pedwell, Rosita",0.00%,"Tuesday, 8 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 2:00pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
234281-243921,243921,PROUDLOCK,"Proudlock, Elsie",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 9:11am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
242609-243986,243986,R_BOWERS,"Rutherford-Bowers, Elsie-Rae",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 9:03am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
162357-244003,244003,SEAR,"Sear, Harvey",5.00%,"Tuesday, 8 November 2022 - 9:00am to 2:30pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 2:30pm,5.5,08/11/2022 - 10:56am to 2:34pm,5.5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Lindfield
208635-244098,244098,SULLIVAN,"Sullivan, Luke",0.00%,"Wednesday, 9 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:00am to 3:00pm,6,08/11/2022 - 9:11am to 3:00pm,6,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - Lindfield Lodge
234186-244242,244242,WELLING,"Welling, Chelsea",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
227494-244277,244277,WINTER,"Winter, Samuel",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,0,0,0,30,08/11/2022 - 9:00am to 12:00pm,3,08/11/2022 - 9:00am to 12:00pm,0,3,30,0,0,0,0,0,0,30,0,Norto5 KIDZ - Lindfield Lodge
242742-244318,244318,WORRALL,"Worrall, Alfred",0.00%,"Tuesday, 8 November 2022 - 9:00am to 1:00pm",4,4,0,34.8,0,0,2.44,0,4.55,41.79,08/11/2022 - 9:00am to 1:00pm,4,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-41.79,KIDZ Academy - Lindfield
231340-244333,244333,WRAITH,"Wraith, Arthur ",0.00%,"Tuesday, 8 November 2022 - 9:00am to 4:00pm",7,7,0,70,0,0,0,0,2.25,72.25,08/11/2022 - 9:00am to 4:00pm,7,08/11/2022 - 9:01am to 4:00pm,0,7,70,0,0,0,0,0,2.25,72.25,0,KIDZ Academy - Cuckfield
244373-244385,244385,TURNER02,"Turner, Romey-Lynn",0.00%,"Tuesday, 8 November 2022 - 9:00am to 5:00pm",8,8,0,80,0,0,0,0,3.41,83.41,08/11/2022 - 9:00am to 5:00pm,8,01/01/2000 - 12:00am,0,8,80,0,0,0,0,0,3.41,83.41,0,KIDZ Academy - Cuckfield
244374-244392,244392,TURNER02,"Turner, Charles",5.00%,"Tuesday, 8 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,5.99,5.99,08/11/2022 - 9:00am to 5:00pm,8,01/01/2000 - 12:00am,8,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
244361-244442,244442,TERRY,"Terry, Jude",0.00%,"Tuesday, 8 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,2.1,0,0,32.1,08/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-32.1,Norto5 KIDZ - Lindfield Lodge
244593-244605,244605,BRYANT,"Bryant, Miley Beau",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 2:00pm,5,08/11/2022 - 8:59am to 2:01pm,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
242510-245090,245090,ABBONDANZA,"Abbondanza, Leonardo ",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 3:00pm,6,08/11/2022 - 8:59am to 2:43pm,6,0,0,0,0,0,0,0,4.55,4.55,4.55,KIDZ Academy - Cuckfield
244814-247061,247061,FATONA,"Fatona, Grace ",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:00am to 2:00pm,5,08/11/2022 - 9:05am to 1:59pm,0,5,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
182195-243397,243397,GARTH01,"Garth, Birdie ",0.00%,"Wednesday, 9 November 2022 - 9:30am to 2:30pm",5,0,5,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:30am to 2:30pm,5,08/11/2022 - 9:34am to 2:33pm,5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Cuckfield
223165-243567,243567,HOWARD,"Howard, Ryan",5.00%,"Tuesday, 8 November 2022 - 9:30am to 12:00pm",2.5,0,2.5,0,0,0,0,0,0,0,08/11/2022 - 9:30am to 12:00pm,2.5,08/11/2022 - 9:29am to 12:00pm,2.5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
228460-243612,243612,JACKMAN,"Jackman, Harper",0.00%,"Tuesday, 8 November 2022 - 9:30am to 11:30am",2,2,0,17.4,0,0,1.22,0,0,18.62,08/11/2022 - 9:30am to 11:30am,2,08/11/2022 - 9:34am to 11:29am,0,2,17.4,0,0,0,1.22,0,0,18.62,0,KIDZ Academy - Cuckfield
234418-243899,243899,PILLAI,"Pillai, Viaan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 9:30am to 2:30pm,5,08/11/2022 - 10:31am to 2:34pm,2.5,2.5,21.75,0,0,0,0,2.18,4.55,28.48,28.48,KIDZ Academy - Lindfield
227958-244038,244038,SMITH07,"Smith, Darcie",5.00%,"Tuesday, 8 November 2022 - 9:30am to 2:30pm",5,0,5,0,0,0,0,0,0,0,08/11/2022 - 9:30am to 2:30pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
193866-244305,244305,WOODWARD,"Woodward, Thea",0.00%,"Tuesday, 8 November 2022 - 9:30am to 3:00pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,08/11/2022 - 9:30am to 3:00pm,5.5,08/11/2022 - 9:34am to 2:57pm,5.5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
193661-243126,243126,FIELD02,"Bridgman, Charlotte",0.00%,"Tuesday, 8 November 2022 - 10:00am to 3:30pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,08/11/2022 - 10:00am to 3:30pm,5.5,08/11/2022 - 10:00am to 3:30pm,5.5,0,0,0,0,0,0,0,0,0,-4.55,Norto5 KIDZ - West End Farm
211487-243438,243438,GIBBS,"Gibbs, Jasmine",0.00%,"Tuesday, 8 November 2022 - 10:00am to 5:00pm",7,0,7,0,0,0,0,0,5.99,5.99,08/11/2022 - 10:00am to 5:00pm,7,01/01/2000 - 12:00am,7,0,0,0,0,0,0,0,5.99,5.99,0,Norto5 KIDZ - West End Farm
231540-242932,242932,ALI,"Ali, Jasmine",0.00%,"Tuesday, 8 November 2022 - 11:00am to 4:00pm",5,0,5,0,0,0,0,0,4.75,4.75,08/11/2022 - 11:00am to 4:00pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,4.75,4.75,0,KIDZ Academy - Lindfield
231084-244794,244794,JACKSONK,"Randall, Jackson",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 11:30am to 6:00pm,6.5,08/11/2022 - 11:40am to 5:55pm,4,2.5,21.75,0,0,0,0,2.18,0,23.93,23.93,KIDZ Academy - Lindfield
231485-244191,244191,WALPOLE,"Walpole, Holly",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,08/11/2022 - 1:00pm to 5:30pm,4.5,08/11/2022 - 1:10pm to 5:24pm,4.5,0,0,0,0,0,0,0,1.44,1.44,1.44,Norto5 KIDZ - Lindfield Lodge
213732-243232,243232,COVENEY,"Coveney, Marcie ",0.00%,"Tuesday, 8 November 2022 - 2:30pm to 5:30pm",3,3,0,30,0,0,0,0,1.16,31.16,08/11/2022 - 2:30pm to 5:30pm,3,08/11/2022 - 2:33pm to 5:17pm,0,3,30,0,0,0,0,0,1.16,31.16,0,KIDZ Academy - Cuckfield
